id,date_est,business_hours,cal_week,word
1,2020-03-03T01:34:50Z,business hours,9,i
1,2020-03-03T01:34:50Z,business hours,9,was
1,2020-03-03T01:34:50Z,business hours,9,thrilled
1,2020-03-03T01:34:50Z,business hours,9,to
1,2020-03-03T01:34:50Z,business hours,9,be
1,2020-03-03T01:34:50Z,business hours,9,back
1,2020-03-03T01:34:50Z,business hours,9,in
1,2020-03-03T01:34:50Z,business hours,9,the
1,2020-03-03T01:34:50Z,business hours,9,greaity
1,2020-03-03T01:34:50Z,business hours,9,of
1,2020-03-03T01:34:50Z,business hours,9,charlotte
1,2020-03-03T01:34:50Z,business hours,9,north
1,2020-03-03T01:34:50Z,business hours,9,carolina
1,2020-03-03T01:34:50Z,business hours,9,with
1,2020-03-03T01:34:50Z,business hours,9,thousands
1,2020-03-03T01:34:50Z,business hours,9,of
1,2020-03-03T01:34:50Z,business hours,9,hardworking
1,2020-03-03T01:34:50Z,business hours,9,american
1,2020-03-03T01:34:50Z,business hours,9,patriots
1,2020-03-03T01:34:50Z,business hours,9,who
1,2020-03-03T01:34:50Z,business hours,9,love
1,2020-03-03T01:34:50Z,business hours,9,our
1,2020-03-03T01:34:50Z,business hours,9,country
1,2020-03-03T01:34:50Z,business hours,9,cherish
1,2020-03-03T01:34:50Z,business hours,9,our
1,2020-03-03T01:34:50Z,business hours,9,values
1,2020-03-03T01:34:50Z,business hours,9,respect
1,2020-03-03T01:34:50Z,business hours,9,our
1,2020-03-03T01:34:50Z,business hours,9,laws
1,2020-03-03T01:34:50Z,business hours,9,and
1,2020-03-03T01:34:50Z,business hours,9,always
1,2020-03-03T01:34:50Z,business hours,9,put
1,2020-03-03T01:34:50Z,business hours,9,america
1,2020-03-03T01:34:50Z,business hours,9,first
1,2020-03-03T01:34:50Z,business hours,9,thank
1,2020-03-03T01:34:50Z,business hours,9,you
1,2020-03-03T01:34:50Z,business hours,9,for
1,2020-03-03T01:34:50Z,business hours,9,a
1,2020-03-03T01:34:50Z,business hours,9,wonderful
1,2020-03-03T01:34:50Z,business hours,9,evening
1,2020-03-03T01:34:50Z,business hours,9,#kag
2,2020-01-17T03:22:47Z,non-business hours,3,read
2,2020-01-17T03:22:47Z,non-business hours,3,letter
2,2020-01-17T03:22:47Z,non-business hours,3,to
2,2020-01-17T03:22:47Z,non-business hours,3,surveillance
2,2020-01-17T03:22:47Z,non-business hours,3,court
2,2020-01-17T03:22:47Z,non-business hours,3,obtained
2,2020-01-17T03:22:47Z,non-business hours,3,by
2,2020-01-17T03:22:47Z,non-business hours,3,cbs
2,2020-01-17T03:22:47Z,non-business hours,3,news
2,2020-01-17T03:22:47Z,non-business hours,3,questions
2,2020-01-17T03:22:47Z,non-business hours,3,where
2,2020-01-17T03:22:47Z,non-business hours,3,there
2,2020-01-17T03:22:47Z,non-business hours,3,will
2,2020-01-17T03:22:47Z,non-business hours,3,be
2,2020-01-17T03:22:47Z,non-business hours,3,further
2,2020-01-17T03:22:47Z,non-business hours,3,disciplinary
2,2020-01-17T03:22:47Z,non-business hours,3,action
2,2020-01-17T03:22:47Z,non-business hours,3,and
2,2020-01-17T03:22:47Z,non-business hours,3,cho
3,2020-01-17T13:13:59Z,non-business hours,3,very
3,2020-01-17T13:13:59Z,non-business hours,3,friendly
3,2020-01-17T13:13:59Z,non-business hours,3,telling
3,2020-01-17T13:13:59Z,non-business hours,3,of
3,2020-01-17T13:13:59Z,non-business hours,3,events
3,2020-01-17T13:13:59Z,non-business hours,3,here
3,2020-01-17T13:13:59Z,non-business hours,3,about
3,2020-01-17T13:13:59Z,non-business hours,3,comeys
3,2020-01-17T13:13:59Z,non-business hours,3,apparent
3,2020-01-17T13:13:59Z,non-business hours,3,leaking
3,2020-01-17T13:13:59Z,non-business hours,3,to
3,2020-01-17T13:13:59Z,non-business hours,3,compliant
3,2020-01-17T13:13:59Z,non-business hours,3,media
3,2020-01-17T13:13:59Z,non-business hours,3,if
3,2020-01-17T13:13:59Z,non-business hours,3,you
3,2020-01-17T13:13:59Z,non-business hours,3,read
3,2020-01-17T13:13:59Z,non-business hours,3,those
3,2020-01-17T13:13:59Z,non-business hours,3,arles
3,2020-01-17T13:13:59Z,non-business hours,3,and
3,2020-01-17T13:13:59Z,non-business hours,3,tho
4,2020-01-17T00:11:56Z,business hours,3,president
4,2020-01-17T00:11:56Z,business hours,3,announced
4,2020-01-17T00:11:56Z,business hours,3,historic
4,2020-01-17T00:11:56Z,business hours,3,steps
4,2020-01-17T00:11:56Z,business hours,3,to
4,2020-01-17T00:11:56Z,business hours,3,prot
4,2020-01-17T00:11:56Z,business hours,3,the
4,2020-01-17T00:11:56Z,business hours,3,constitutional
4,2020-01-17T00:11:56Z,business hours,3,right
4,2020-01-17T00:11:56Z,business hours,3,to
4,2020-01-17T00:11:56Z,business hours,3,pray
4,2020-01-17T00:11:56Z,business hours,3,in
4,2020-01-17T00:11:56Z,business hours,3,public
4,2020-01-17T00:11:56Z,business hours,3,schools
5,2020-02-01T16:14:02Z,business hours,5,getting
5,2020-02-01T16:14:02Z,business hours,5,a
5,2020-02-01T16:14:02Z,business hours,5,little
5,2020-02-01T16:14:02Z,business hours,5,exercise
5,2020-02-01T16:14:02Z,business hours,5,this
5,2020-02-01T16:14:02Z,business hours,5,morning
6,2020-03-08T04:01:46Z,non-business hours,10,the
6,2020-03-08T04:01:46Z,non-business hours,10,economic
6,2020-03-08T04:01:46Z,non-business hours,10,boom
6,2020-03-08T04:01:46Z,non-business hours,10,continues
6,2020-03-08T04:01:46Z,non-business hours,10,k
6,2020-03-08T04:01:46Z,non-business hours,10,jobs
6,2020-03-08T04:01:46Z,non-business hours,10,added
6,2020-03-08T04:01:46Z,non-business hours,10,in
6,2020-03-08T04:01:46Z,non-business hours,10,february
6,2020-03-08T04:01:46Z,non-business hours,10,m+
6,2020-03-08T04:01:46Z,non-business hours,10,jobs
6,2020-03-08T04:01:46Z,non-business hours,10,added
6,2020-03-08T04:01:46Z,non-business hours,10,since
6,2020-03-08T04:01:46Z,non-business hours,10,was
6,2020-03-08T04:01:46Z,non-business hours,10,elected
6,2020-03-08T04:01:46Z,non-business hours,10,unemploym
7,2020-02-07T17:35:20Z,business hours,6,vindmans
7,2020-02-07T17:35:20Z,business hours,6,behavior
7,2020-02-07T17:35:20Z,business hours,6,is
7,2020-02-07T17:35:20Z,business hours,6,a
7,2020-02-07T17:35:20Z,business hours,6,scandal
7,2020-02-07T17:35:20Z,business hours,6,he
7,2020-02-07T17:35:20Z,business hours,6,should
7,2020-02-07T17:35:20Z,business hours,6,be
7,2020-02-07T17:35:20Z,business hours,6,removed
7,2020-02-07T17:35:20Z,business hours,6,from
7,2020-02-07T17:35:20Z,business hours,6,the
7,2020-02-07T17:35:20Z,business hours,6,white
7,2020-02-07T17:35:20Z,business hours,6,house
7,2020-02-07T17:35:20Z,business hours,6,asap
7,2020-02-07T17:35:20Z,business hours,6,to
7,2020-02-07T17:35:20Z,business hours,6,prot
7,2020-02-07T17:35:20Z,business hours,6,our
7,2020-02-07T17:35:20Z,business hours,6,foreign
7,2020-02-07T17:35:20Z,business hours,6,poli
8,2020-01-09T12:24:31Z,non-business hours,2,thank
8,2020-01-09T12:24:31Z,non-business hours,2,you
8,2020-01-09T12:24:31Z,non-business hours,2,elise
9,2020-01-23T12:54:28Z,non-business hours,4,no
9,2020-01-23T12:54:28Z,non-business hours,4,matter
9,2020-01-23T12:54:28Z,non-business hours,4,what
9,2020-01-23T12:54:28Z,non-business hours,4,you
9,2020-01-23T12:54:28Z,non-business hours,4,give
9,2020-01-23T12:54:28Z,non-business hours,4,to
9,2020-01-23T12:54:28Z,non-business hours,4,the
9,2020-01-23T12:54:28Z,non-business hours,4,radical
9,2020-01-23T12:54:28Z,non-business hours,4,left
9,2020-01-23T12:54:28Z,non-business hours,4,do
9,2020-01-23T12:54:28Z,non-business hours,4,nothing
9,2020-01-23T12:54:28Z,non-business hours,4,democrats
9,2020-01-23T12:54:28Z,non-business hours,4,it
9,2020-01-23T12:54:28Z,non-business hours,4,will
9,2020-01-23T12:54:28Z,non-business hours,4,never
9,2020-01-23T12:54:28Z,non-business hours,4,be
9,2020-01-23T12:54:28Z,non-business hours,4,enough
10,2020-02-19T14:28:22Z,business hours,8,the
10,2020-02-19T14:28:22Z,business hours,8,fbi
