text_id,text,date_est,business_hours
1,"I was thrilled to be back in the Great city of Charlotte, North Carolina with thousands of hardworking American Patriots who love our Country, cherish our values, respect our laws, and always put AMERICA FIRST! Thank you for a wonderful evening!! #KAG2020 https://t.co/dNJZfRsl9y",2020-03-03T01:34:50Z,business hours
2,RT @CBS_Herridge: READ: Letter to surveillance court obtained by CBS News questions where there will be further disciplinary action and cho…,2020-01-17T03:22:47Z,non-business hours
3,RT @MZHemingway: Very friendly telling of events here about Comey's apparent leaking to compliant media. If you read those articles and tho…,2020-01-17T13:13:59Z,non-business hours
4,RT @WhiteHouse: President @realDonaldTrump announced historic steps to protect the Constitutional right to pray in public schools! https://…,2020-01-17T00:11:56Z,business hours
5,Getting a little exercise this morning! https://t.co/fyAAcbhbgk,2020-02-01T16:14:02Z,business hours
6,"RT @GOPChairwoman: The economic boom continues!

273K jobs added in February 

7M+ jobs added since @realDonaldTrump was elected

Unemploym…",2020-03-08T04:01:46Z,non-business hours
7,RT @TomFitton: Vindman's behavior is a scandal. He should be removed from the @RealDonaldTrump White House ASAP to protect our foreign poli…,2020-02-07T17:35:20Z,business hours
8,Thank you Elise! https://t.co/Y4Hb0zf5jk,2020-01-09T12:24:31Z,non-business hours
9,https://t.co/121KaqlSJQ,2020-03-14T18:20:05Z,business hours
10,https://t.co/nyajxA52Fs,2020-04-07T22:43:41Z,business hours
11,"No matter what you give to the Radical Left, Do Nothing Democrats, it will never be enough!",2020-01-23T12:54:28Z,non-business hours
12,"RT @RepMarkMeadows: The FBI lied to the FISA Court 17 times, using knowingly false info in FISA applications, concealed exonerating evidenc…",2020-02-19T14:28:22Z,business hours
13,RT @SenJohnThune: Everything we’re doing right now is time-sensitive. Just left lunch with @SenateGOP &amp; @StevenMnuchin1. We’re working as a…,2020-03-20T04:42:15Z,non-business hours
14,HAPPY EASTER!,2020-04-12T14:21:55Z,business hours
15,RT @Bhuvanbagga: The world's newest &amp; biggest #cricket stadium -- also the venue of joint Modi-Trump visit in western #India's Gujarat stat…,2020-02-19T16:18:03Z,business hours
16,RT @GreggJarrett: Comey (and the Media’s) Coverup Unravels https://t.co/eBWLJW4E2x,2020-01-25T19:31:00Z,business hours
17,RT @RepMarkMeadows: There is no other way to spin it: The response today from the President’s legal team has been absolutely devastating to…,2020-01-25T19:54:25Z,business hours
18,"Great story. Thank you to Mr. Young of Jonesboro, Arkansas! https://t.co/i9xH8VXfS2",2020-03-21T13:21:10Z,business hours
19,RT @LouDobbs: President’s lawyers dissected the Radical Dems efforts to overthrow @realDonaldTrump under the guise of what has been clearly…,2020-01-25T19:54:52Z,business hours
20,RT @GOPLeader: No wonder Chairman Adam Schiff wouldn’t let the President’s lawyers participate in his sham hearings. They just dismantled h…,2020-01-25T19:54:36Z,business hours
21,https://t.co/hOFQEf1hUM,2020-03-21T20:55:14Z,business hours
22,"RT @ronaldjhansen: No one seems to be having more fun or getting a warmer reception at @AZGOP meeting than @RepDLesko, who is part of @real…",2020-01-25T20:43:22Z,business hours
