id,text,date_est,business_hours,cal_week
1,"I was thrilled to be back in the Greaity of Charlotte, North Carolina with thousands of hardworking American Patriots who love our Country, cherish our values, respect our laws, and always put AMERICA FIRST! Thank you for a wonderful evening!! #KAG",2020-03-03T01:34:50Z,business hours,9
2, READ: Letter to surveillance court obtained by CBS News questions where there will be further disciplinary action and cho…,2020-01-17T03:22:47Z,non-business hours,3
3, Very friendly telling of events here about Comey's apparent leaking to compliant media. If you read those arles and tho…,2020-01-17T13:13:59Z,non-business hours,3
4, President announced historic steps to prot the Constitutional right to pray in public schools!,2020-01-17T00:11:56Z,business hours,3
5,Getting a little exercise this morning!,2020-02-01T16:14:02Z,business hours,5
6, The economic boom continues! K jobs added in February M+ jobs added since was elected Unemploym…,2020-03-08T04:01:46Z,non-business hours,10
7, Vindman's behavior is a scandal. He should be removed from the White House ASAP to prot our foreign poli…,2020-02-07T17:35:20Z,business hours,6
8,Thank you Elise!,2020-01-09T12:24:31Z,non-business hours,2
9,"No matter what you give to the Radical Left, Do Nothing Democrats, it will never be enough!",2020-01-23T12:54:28Z,non-business hours,4
10," The FBI lied to the FISA Court times, using knowingly false info in FISA applications, concealed exonerating evidenc…",2020-02-19T14:28:22Z,business hours,8
11, Everything we’re doing right now is time-sensitive. Just left lunch with ; We’re working as a…,2020-03-20T04:42:15Z,non-business hours,12
12,HAPPY EASTER!,2020-04-12T14:21:55Z,business hours,15
13, The world's newest ; biggest #cricket stadium -- also the venue of joint Modi-Trump visit in western #India's Gujarat stat…,2020-02-19T16:18:03Z,business hours,8
14, Comey (and the Media’s) Coverup Unravels,2020-01-25T19:31:00Z,business hours,4
15, There is no other way to spin it: The response today from the President’s legal team has been absolutely devastating to…,2020-01-25T19:54:25Z,business hours,4
16,"Great story. Thank you to Mr. Young of Jonesboro, Arkansas!",2020-03-21T13:21:10Z,business hours,12
17, President’s lawyers dissected the Radical Dems efforts to overthrow under the guise of what has been clearly…,2020-01-25T19:54:52Z,business hours,4
18, No wonder Chairman Adam Schiff wouldn’t let the President’s lawyers paripate in his sham hearings. They just dismantled h…,2020-01-25T19:54:36Z,business hours,4
19, No one seems to be having more fun or getting a warmer reception at meeting than who is part of,2020-01-25T20:43:22Z,business hours,4
20," Georgia’s th District is flippable. This one’s for you, Cobb, Fulton, ; Dekalb Counties. #GA…",2020-04-13T00:33:38Z,business hours,15
21, Our president is working valiantly to face some thing unprecedented and he’s met with the ignorance seen in this video.…,2020-03-22T03:30:08Z,non-business hours,12
22, Arizona is BOOMING thanks to President Unemployment is falling ; labor force paripation is rising! ✅…,2020-02-20T13:32:34Z,non-business hours,8
